Model,BLEU-1 (Ours),BLEU-1 (Paper),BLEU-2 (Ours),BLEU-2 (Paper),BLEU-3 (Ours),BLEU-3 (Paper),BLEU-4 (Ours),BLEU-4 (Paper),CIDEr (Ours),CIDEr (Paper)
random,0.22837539273395388,0.265,0.10914919373697396,0.137,0.05698139243837867,0.07,0.031227278102862174,0.036,0.03260406579331007,0.57
1-gram,2.517764576826777e-23,0.196,4.533163220715917e-26,0.0,5.514804259286166e-27,0.0,1.9235101186128184e-27,0.0,0.000198900698689804,0.348
2-gram,0.19221513365974013,0.194,0.09344738686159701,0.098,0.04310272615297177,0.043,0.02023018594168106,0.013,0.01894917757976579,0.404
3-gram,0.19693835103124893,0.206,0.09552305448832242,0.107,0.05091921637112179,0.057,0.02779477822439995,0.031,0.029587590505067058,0.435
1nn,0.24406814775887667,0.305,0.12060979438439513,0.171,0.06573784196195281,0.098,0.03843588153445101,0.057,0.0674002719725342,0.755
